id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,jumlah_demam_berdarah,satuan,tahun
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201071,TAMANSARI,320131,TAMANSARI,34,Orang,2020
110,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201071,TAMANSARI,320131,TAMANSARI,27,Orang,2021
111,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201071,TAMANSARI,320131,TAMANSARI,14,Orang,2022
112,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201161,TANJUNGSARI,320136,TANJUNGSARI,9,Orang,2020
113,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201161,TANJUNGSARI,320136,TANJUNGSARI,9,Orang,2021
114,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201161,TANJUNGSARI,320136,TANJUNGSARI,9,Orang,2022
115,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201290,TENJO,320123,TENJO,3,Orang,2020
116,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201290,TENJO,320123,TENJO,5,Orang,2021
117,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201290,TENJO,320123,TENJO,17,Orang,2022
118,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201051,TENJOLAYA,320140,TENJOLAYA,3,Orang,2020
119,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201051,TENJOLAYA,320140,TENJOLAYA,7,Orang,2021
120,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201051,TENJOLAYA,320140,TENJOLAYA,1,Orang,2022
